date, time spent on computer (hours), time spent on computer (minutes)
2018-12-16,01:32,92
2018-12-18,01:15,75
2018-12-19,02:54,174
2018-12-20,00:25,25
2018-12-21,05:39,339
2018-12-22,03:27,207
2018-12-23,03:30,210
2018-12-24,05:38,338
2018-12-25,04:35,275
2018-12-26,04:01,241
2018-12-27,05:38,338
2018-12-28,04:02,242
2018-12-29,03:22,202
2018-12-30,04:39,279
2018-12-31,07:17,437
2019-01-01,00:06,6
2019-01-02,00:17,17
2019-01-05,02:30,150
2019-01-06,01:27,87
2019-01-07,00:54,54
2019-01-09,01:41,101
2019-01-10,01:22,82
2019-01-11,02:30,150
2019-01-12,02:26,146
2019-01-14,02:50,170
2019-01-15,00:58,58
2019-01-16,01:18,78
2019-01-17,00:48,48
2019-01-18,01:22,82
2019-01-19,00:17,17
2019-01-20,02:47,167
2019-01-21,02:39,159
2019-01-24,00:48,48
2019-01-25,04:41,281
2019-01-26,01:29,89
2019-01-27,03:36,216
2019-01-28,00:02,2
2019-01-29,00:56,56
2019-01-30,00:12,12
2019-01-31,00:06,6
2019-02-01,03:25,205
2019-02-02,07:05,425
2019-02-03,03:17,197
2019-02-04,04:04,244
2019-02-05,00:48,48
2019-02-06,03:55,235
2019-02-07,01:02,62
2019-02-08,03:40,220
2019-02-09,06:29,389
2019-02-10,04:26,266
2019-02-11,00:42,42
2019-02-12,03:38,218
2019-02-13,02:11,131
2019-02-14,02:10,130
2019-02-15,00:45,45
2019-02-16,04:33,273
2019-02-17,11:09,669
2019-02-18,02:40,160
2019-02-19,02:59,179
2019-02-20,01:43,103
2019-02-21,04:26,266
2019-02-23,00:45,45
2019-02-24,05:17,317
2019-02-25,01:40,100
2019-02-26,00:39,39
2019-02-27,00:07,7
2019-02-28,03:43,223
2019-03-01,05:55,355
2019-03-02,06:42,402
2019-03-03,06:07,367
2019-03-04,05:03,303
2019-03-05,06:43,403
2019-03-06,10:56,656
2019-03-07,02:58,178
2019-03-08,03:31,211
2019-03-09,05:31,331
2019-03-10,05:38,338
2019-03-11,02:07,127
2019-03-12,00:37,37
2019-03-13,02:03,123
2019-03-14,02:56,176
2019-03-15,00:47,47
2019-03-16,06:56,416
2019-03-17,00:24,24
2019-03-18,01:24,84
2019-03-19,03:57,237
2019-03-20,01:42,102
2019-03-21,07:44,464
2019-03-22,04:12,252
2019-03-23,04:43,283
2019-03-24,08:47,527
2019-03-25,09:13,553
2019-03-26,02:08,128
2019-03-27,05:38,338
2019-03-28,06:36,396
2019-03-29,05:10,310
2019-03-30,02:53,173
2019-03-31,10:06,606
2019-04-01,02:56,176
2019-04-02,01:56,116
2019-04-03,04:03,243
2019-04-04,03:40,220
2019-04-05,03:02,182
2019-04-06,01:03,63
2019-04-07,01:06,66
2019-04-08,03:36,216
2019-04-09,03:42,222
2019-04-10,03:05,185
2019-04-11,03:23,203
2019-04-12,04:45,285
2019-04-13,01:18,78
2019-04-14,07:13,433
2019-04-15,09:18,558
2019-04-16,07:11,431
2019-04-17,03:50,230
2019-04-18,05:40,340
2019-04-19,01:59,119
2019-04-21,05:33,333
2019-04-22,02:31,151
2019-04-23,02:51,171
2019-04-24,06:19,379
2019-04-25,01:28,88
2019-04-27,04:57,297
2019-04-28,07:32,452
2019-04-29,04:31,271
2019-04-30,07:09,429
2019-05-01,06:06,366
2019-05-02,07:27,447
2019-05-03,01:27,87
2019-05-04,10:36,636
2019-05-05,07:31,451
2019-05-06,02:54,174
2019-05-07,05:54,354
2019-05-08,03:01,181
2019-05-09,02:37,157
2019-05-10,04:21,261
2019-05-12,03:28,208
2019-05-13,01:13,73
2019-05-14,06:18,378
2019-05-15,00:44,44
2019-05-16,02:14,134
2019-05-17,07:19,439
2019-05-18,02:45,165
2019-05-19,04:09,249
2019-05-20,02:09,129
2019-05-21,04:12,252
2019-05-22,00:44,44
2019-05-23,03:01,181
2019-05-24,03:01,181
2019-05-25,05:03,303
2019-05-26,01:24,84
2019-05-27,00:30,30
2019-05-28,02:34,154
2019-05-29,01:42,102
2019-05-31,02:53,173
2019-06-01,01:19,79
2019-06-02,05:57,357
2019-06-03,02:52,172
2019-06-04,03:33,213
2019-06-05,06:32,392
2019-06-06,06:36,396
2019-06-07,02:19,139
2019-06-08,02:11,131
2019-06-09,09:41,581
2019-06-10,07:02,422
2019-06-11,04:47,287
2019-06-12,06:58,418
2019-06-13,04:24,264
2019-06-14,01:44,104
2019-06-15,02:13,133
2019-06-16,00:55,55
2019-06-17,07:56,476
2019-06-18,08:03,483
2019-06-19,03:58,238
2019-06-20,08:42,522
2019-06-21,03:06,186
2019-06-22,00:59,59
2019-06-23,06:02,362
2019-06-24,08:12,492
2019-06-25,08:58,538
2019-06-26,07:42,462
2019-06-27,04:30,270
2019-06-28,07:47,467
2019-06-29,00:32,32
2019-07-01,02:33,153
2019-07-02,03:47,227
2019-07-03,04:03,243
2019-07-04,03:13,193
2019-07-06,00:50,50
2019-07-07,00:41,41
2019-07-08,05:06,306
2019-07-09,06:18,378
2019-07-10,04:31,271
2019-07-11,02:56,176
2019-07-12,01:32,92
2019-07-13,01:55,115
2019-07-14,01:49,109
2019-07-15,00:31,31
2019-07-16,15:12,912
2019-07-17,15:26,926
2019-07-18,03:46,226
2019-07-19,02:18,138
2019-07-20,02:51,171
2019-07-21,01:26,86
2019-07-22,01:35,95
2019-07-23,03:07,187
2019-07-24,04:16,256
2019-07-25,07:04,424
2019-07-26,08:30,510
2019-07-27,00:49,49
2019-07-28,03:03,183
2019-07-29,05:34,334
2019-07-30,04:00,240
2019-07-31,02:55,175
2019-08-01,05:22,322
2019-08-02,05:01,301
2019-08-03,04:18,258
2019-08-04,04:19,259
2019-08-06,01:00,60
2019-08-07,00:44,44
2019-08-08,03:00,180
2019-08-09,02:51,171
2019-08-10,04:53,293
2019-08-11,06:37,397
2019-08-12,01:40,100
2019-08-14,00:30,30
2019-08-18,09:06,546
2019-08-19,01:24,84
2019-08-21,01:40,100
2019-08-22,00:35,35
2019-08-23,05:24,324
2019-08-24,02:28,148
2019-08-25,01:50,110
2019-08-26,01:56,116
2019-08-27,00:12,12
2019-08-28,00:48,48
2019-08-31,02:18,138
2019-09-01,03:31,211
2019-09-02,03:48,228
2019-09-04,00:22,22
2019-09-06,01:43,103
2019-09-07,05:31,331
2019-09-08,06:25,385
2019-09-09,03:07,187
2019-09-10,02:24,144
2019-09-14,01:59,119
2019-09-15,02:35,155
2019-09-16,00:19,19
2019-09-17,02:33,153
2019-09-18,01:20,80
2019-09-19,01:13,73
2019-09-20,00:48,48
2019-09-21,06:02,362
2019-09-22,11:32,692
2019-09-23,00:42,42
2019-09-24,02:05,125
2019-09-25,01:18,78
2019-09-26,03:39,219
2019-09-27,02:16,136
2019-09-29,05:20,320
2019-09-30,01:01,61
2019-10-01,00:46,46
2019-10-02,03:33,213
2019-10-03,01:36,96
2019-10-04,03:07,187
2019-10-05,07:18,438
2019-10-06,07:16,436
2019-10-07,01:07,67
2019-10-08,02:36,156
2019-10-09,01:08,68
2019-10-10,01:26,86
2019-10-11,00:24,24
2019-10-12,01:43,103
2019-10-13,02:08,128
2019-10-14,01:57,117
2019-10-15,03:37,217
2019-10-16,00:25,25
2019-10-18,03:59,239
2019-10-19,01:50,110
2019-10-20,03:43,223
2019-10-21,04:07,247
2019-10-24,01:22,82
2019-10-25,01:59,119
2019-10-26,04:09,249
2019-10-27,02:27,147
2019-10-28,01:25,85
2019-10-30,01:15,75
2019-10-31,01:28,88
2019-11-01,00:23,23
2019-11-02,05:27,327
2019-11-03,07:13,433
2019-11-04,00:11,11
2019-11-07,02:26,146
2019-11-08,02:35,155
2019-11-09,00:53,53
2019-11-10,07:17,437
2019-11-11,03:42,222
2019-11-12,00:07,7
2019-11-13,01:45,105
2019-11-14,02:24,144
2019-11-17,02:22,142
2019-11-18,04:11,251
2019-11-19,03:56,236
2019-11-20,01:45,105
2019-11-23,02:02,122
2019-11-24,05:54,354
2019-11-25,01:41,101
2019-11-26,03:26,206
2019-11-27,07:54,474
2019-11-28,03:42,222
2019-11-29,02:31,151
2019-12-02,00:36,36
2019-12-03,03:01,181
2019-12-04,00:40,40
2019-12-05,01:23,83
2019-12-06,04:55,295
2019-12-07,01:54,114
2019-12-08,05:02,302
2019-12-09,00:36,36
2019-12-10,02:00,120
2019-12-12,00:59,59
2019-12-15,02:59,179
2019-12-16,01:34,94
2019-12-20,01:00,60
2019-12-21,05:18,318
2019-12-22,01:00,60
2019-12-23,07:23,443
2019-12-24,07:36,456
2019-12-25,01:23,83
2019-12-26,02:01,121
2019-12-29,04:33,273
2019-12-30,01:45,105
2019-12-31,01:50,110
2020-01-01,03:02,182
2020-01-03,01:58,118
2020-01-05,04:42,282
2020-01-06,01:36,96
2020-01-07,00:13,13
2020-01-08,02:28,148
2020-01-09,01:09,69
2020-01-12,01:46,106
2020-01-16,04:17,257
2020-01-17,00:20,20
2020-01-19,01:33,93
2020-01-20,02:03,123
2020-01-22,01:41,101
2020-01-24,00:32,32
2020-01-25,04:40,280
2020-01-26,01:31,91
2020-01-27,03:30,210
2020-01-28,02:43,163
2020-01-29,03:38,218
2020-01-30,00:41,41
2020-02-01,05:29,329
2020-02-02,02:15,135
2020-02-04,02:07,127
2020-02-06,02:41,161
2020-02-08,03:28,208
2020-02-09,05:02,302
2020-02-10,02:34,154
2020-02-11,00:01,1
2020-02-13,00:03,3
2020-02-14,01:08,68
2020-02-16,04:53,293
2020-02-17,01:15,75
2020-02-18,00:42,42
2020-02-19,00:20,20
2020-02-22,00:17,17
2020-02-25,02:57,177
2020-02-26,01:16,76
2020-02-27,02:38,158
2020-02-28,02:47,167
2020-02-29,03:12,192
2020-03-01,05:38,338
2020-03-02,02:28,148
2020-03-03,00:10,10
2020-03-05,01:54,114
2020-03-06,00:23,23
2020-03-07,04:47,287
2020-03-08,03:30,210
2020-03-09,02:16,136
2020-03-12,03:47,227
2020-03-13,04:41,281
2020-03-14,00:11,11
